position,item_id,card_type,package_type,redeem_point,category
1,KYlJ87G2xbAM,red|blue|green|white,,0,primary
2,ZLD08PYnYy2L,red|blue|green|white,,0,primary
3,V6jn9eq3xle6,no_card,,0,secondary
4,67BNWXMeAlw7,no_card,postpaid,0,secondary
5,7nky1j9PXyLD,no_card,postpaid,0,secondary
6,1paxm2O0v0LY,no_card,postpaid,0,secondary
7,0rnXeYkepOpd,no_card,postpaid,0,secondary
8,5D8Kw58ORBpx,no_card,postpaid,0,secondary
9,kevWN4ypq7Ew,no_card,postpaid,0,secondary
10,5xW2XwqzAzZ4,no_card,postpaid,0,secondary
11,l8nYW3wW0oqp,no_card,postpaid,0,secondary
12,RnY2EDQaAmqo,no_card,postpaid,0,secondary
13,41wERBXWdrZ8,no_card,postpaid,0,secondary
14,w4pP3Brqkra4,no_card,postpaid,0,secondary
15,56kXGwPQYKR9,no_card,postpaid,0,secondary
16,4WM2dxmEKlQB,no_card,postpaid,0,secondary
17,ZGox35leRmVD,no_card,postpaid,0,secondary
18,OAdb09aQ56n8,no_card,postpaid,0,secondary
19,580OMNNVOobG,no_card,postpaid,0,secondary
20,8DP6EWdGA5Ek,no_card,postpaid,0,secondary
21,e6WBGjr5g10n,no_card,postpaid,0,secondary
22,YEYQwMk1oLlE,no_card,postpaid,0,secondary
23,mNV93gpwlalr,no_card,postpaid,0,secondary
24,V3PyB2z7JreO,no_card,postpaid,0,secondary
25,OgMl7bpm1xKr,no_card,postpaid,0,secondary
26,pZz0yxjzabzP,no_card,postpaid,0,secondary
27,axGROebOpma3,no_card,postpaid,0,secondary
28,gGkwZYJgMNlG,no_card,postpaid,0,secondary
29,kzlAyDDVl4bP,no_card,postpaid,0,secondary
30,W4D86qvKdNj4,no_card,postpaid,0,secondary
